Vicente	1 saint, 1 blessed
Victorian	2 saints
Victoricus	2 saints
Vitalian	2 saints
Vitus	2 saints
Wigbert	2 saints
Wilfrid	2 saints
Willehad	2 saints
Wincenty	2 blessed
Władysław	2 blessed
Zachary	2 saints
Zenobius	2 saints
Zephyrinus	1 saint, 1 blessed
Zoe	2 saints
Zoticus	2 saints
Aaron	1 saint
Abbán	1 saint
Abdas	1 saint
Abdiesus	1 saint
Abdon	1 saint
Abel	1 saint
Abercius	1 saint
Abiatha	1 saint
Abra	1 saint
Abran	1 saint
Abundantius	1 saint
Acarius	1 saint
Acca	1 saint
Aceolus	1 saint
Acepsimas	1 saint
Achaicus	1 saint
Acius	1 saint
Acutius	1 saint
Acyllinus	1 saint
Acyndinus	1 saint
Ada	1 saint
Adalar	1 saint
Adalbald	1 saint
Adalgott	1 saint
Adalhard	1 saint
Adam	1 blessed
Adamnan	1 saint
Adaucus	1 saint
Adele	1 saint
Adelina	1 saint
Adeloga	1 saint
Adeodatus	1 saint
Aderald	1 saint
Adjutor	1 saint
Ado	1 saint
Adomnán	1 saint
Adrianus	1 saint
Adulf	1 saint
Aedesius	1 saint
Aedh	1 saint
Aelred	1 saint
Aengus	1 saint
Aetherius	1 saint
Afra	1 saint
Africus	1 saint
Agabius	1 saint
Agabus	1 saint
Aganus	1 saint
Agapetus	1 saint
Agathangelo	1 blessed
Agathangelus	1 saint
Agathius	1 saint
Agathodorus	1 saint
Agathonica	1 saint
Agathopodes	1 saint
Agathopus	1 saint
Ageranus	1 saint
Agericus	1 saint
Agia	1 saint
Agilbert	1 saint
Agilberta	1 saint
Agileus	1 saint
Agilulfus	1 saint
Agilus	1 saint
Agnello	1 blessed
Agnellus	1 saint
Agnese	1 saint
Agnofleda	1 saint
Agobard	1 saint
Agofredus	1 saint
Agostina	1 saint
Agrecius	1 saint
Agricolus	1 saint
Agrippina	1 saint
Agrippinus	1 saint
Aichardus	1 saint
Ailbe	1 saint
Ailerán	1 saint
Alberico	1 blessed
Albertinus	1 saint
Albina	1 saint
Albinus	1 saint
Alburga	1 saint
Alcmund	1 saint
Alda	1 blessed
Aldate	1 saint
Aldebrandus	1 saint
Aldegonde	1 saint
Aldegrin	1 saint
Aldemar	1 saint
Aldericus	1 saint
Aldhelm	1 saint
Aldo	1 saint
Aldric	1 saint
Alena	1 saint
Alessio	1 saint
Alexandra	1 saint
Alexandrina	1 blessed
Aleydis	1 saint
Alfano	1 saint
Alferius	1 saint
Alfred	1 saint
Alfreda	1 saint
Alfrick	1 saint
Alfwold	1 saint
Alicja	1 blessed
Alipius	1 saint
Alix	1 blessed
Allucio	1 saint
Almachius	1 saint
Almirus	1 saint
Almus	1 saint
Alnoth	1 saint
Alodia	1 saint
Alpais	1 blessed
Alphaeus	1 saint
Alphius	1 saint
Alphonsa	1 saint
Alrad	1 blessed
Altfrid	1 saint
Altigianus	1 saint
Altmann	1 saint
Alto	1 saint
Alvarado	1 blessed
Alvarez	1 blessed
Alvitus	1 saint
Amalburga	1 saint
Amarand	1 saint
Amarin	1 saint
Amasius	1 saint
Amaswinthus	1 saint
Ambrogio	1 blessed
Amor	1 saint
Ampelius	1 saint
Ampelus	1 saint
Ampliatus	1 saint
Amulwinus	1 saint
Amunia	1 saint
Anacletus	1 saint
Anatole	1 saint
Andeolus	1 saint
Andreas	1 saint
Andres	1 blessed
Andriy	1 blessed
Andrzej	1 saint
Angadresma	1 saint
Ángel	1 blessed
Angelelmus	1 saint
Angelina	1 blessed
Angélique	1 blessed
Angilbert	1 saint
Anglinus	1 saint
Angus	1 saint
Ann	1 saint
Annemund	1 saint
Annibale	1 blessed
Anno	1 saint
Annobert	1 saint
Annunziata	1 blessed
Ansanus	1 saint
Ansbald	1 saint
Ansbert	1 saint
Ansegisus	1 saint
Anselmo	1 blessed
Ansfried	1 saint
Ansgar	1 saint
Ansovinus	1 saint
Anstrudis	1 saint
Ansueris	1 saint
Ansuinus	1 saint
Ansurius	1 saint
Anterus	1 saint
Anthelm	1 saint
Anthia	1 saint
Antholian	1 saint
Antide	1 saint
Antidius	1 saint
Antigones	1 saint
Antiochus	1 saint
Antipas	1 saint
Anton	1 blessed
Antoniette	1 blessed
Antonino	1 saint
Anysia	1 saint
Anysius	1 saint
Apelles	1 saint
Aphian	1 saint
Aphrahat	1 saint
Aphrodisius	1 saint
Apollonia	1 saint
Apollos	1 saint
Apphia	1 saint
Appian	1 saint
Apronia	1 saint
Apronian	1 saint
Aprus	1 saint
Aquilina	1 saint
Arator	1 saint
Arbogast	1 saint
Arcangelo	1 blessed
Archangela	1 blessed
Archelais	1 saint
Archelaus	1 saint
Archippus	1 saint
Ardalion	1 saint
Ardanus	1 saint
Ardo	1 saint
Arduinus	1 saint
Arethas	1 saint
Argeus	1 saint
Argimirius	1 saint
Ariadne	1 saint
Arialdo	1 saint
Arian	1 saint
Aristarchus	1 saint
Aristides	1 saint
Aristobulus	1 saint
Ariston	1 saint
Armagillus	1 saint
Armogastes	1 saint
Arnaldo	1 blessed
Arsacius	1 saint
Artaldus	1 saint
Artemide	1 blessed
Arthur	1 blessed
Arwald	1 saint
Asaph	1 saint
Ascelina	1 saint
Ascensión	1 saint
Asclepiades	1 saint
Asella	1 saint
Aspasius	1 saint
Aspren	1 saint
Assicus	1 saint
Asteria	1 saint
Astericus	1 saint
Astius	1 saint
Astrik	1 saint
Asyncritus	1 saint
Athanasia	1 saint
Athelm	1 saint
Athenogenes	1 saint
Athracht	1 saint
Atilano	1 saint
Attala	1 saint
Attalas	1 saint
Attalia	1 saint
Atticus	1 saint
Attilanus	1 saint
Aucejas	1 saint
Audaldus	1 saint
Augulus	1 saint
Augurius	1 saint
Augusta	1 saint
Augustalus	1 saint
Auguste	1 saint
Augustin	1 saint
Augusto	1 blessed
Aunacharius	1 saint
Aurelia	1 saint
Auspicius	1 saint
Austindus	1 saint
Austreberta	1 saint
Austregisilus	1 saint
Austremonius	1 saint
Autbod	1 saint
Autonomous	1 saint
Auxanus	1 saint
Ava	1 saint
Aventine	1 saint
Avertanus	1 blessed
Avilius	1 saint
Aybert	1 saint
Aymard	1 saint
Ayrald	1 blessed
Azas	1 saint
Babolen	1 saint
Babylas	1 saint
Bacchus	1 saint
Bademus	1 saint
Badilo	1 saint
Badulfus	1 saint
Bagnus	1 saint
Baithin	1 saint
Balbina	1 saint
Baldassare	1 blessed
Baldegundis	1 saint
Balderic	1 saint
Baldomerus	1 saint
Balendin	1 saint
Balthasar	1 blessed
Balther	1 saint
Balthild	1 saint
Bandaridus	1 saint
Barachisius	1 saint
Baradates	1 saint
Barbasymas	1 saint
Barbatus	1 saint
Barbe	1 saint
Bardo	1 saint
Barhadbesciabas	1 saint
Barnabas	1 saint
Barsanuphius	1 saint
Barsimaeus	1 saint
Bartolo	1 blessed
Basiliscus	1 saint
Basinus	1 saint
Basolus	1 saint
Bassa	1 saint
Bassian	1 saint
Bassus	1 saint
Bathus	1 saint
Baudacarius	1 saint
Bautista	1 blessed
Bavo	1 saint
Beatus	1 saint
Bede	1 saint
Begga	1 saint
Belina	1 saint
Bellinus	1 saint
Benedetta	1 blessed
Benedicta	1 saint
Bénilde	1 saint
Benildis	1 saint
Benjamin	1 saint
Benoît	1 saint
Benvenuta	1 blessed
Beoadh	1 saint
Beocca	1 saint
Berach	1 saint
Berard	1 saint
Berarius	1 saint
Bercharius	1 saint
Bercthun	1 saint
Beregisius	1 saint
Berencardus	1 saint
Berengarius	1 blessed
Berenice	1 saint
Beretta	1 saint
Berlinda	1 saint
Bernadette	1 saint
Bernarda	1 saint
Bernardina	1 blessed
Bernhard	1 blessed
Berno	1 saint
Bernward	1 saint
Berthaldus	1 saint
Bertharius	1 saint
Bertilia	1 saint
Bertinus	1 saint
Bertoara	1 saint
Bertram	1 saint
Bertwald	1 saint
Betto	1 saint
Bibiana	1 saint
Bilhild	1 saint
Birgitta	1 saint
Birillus	1 saint
Birinus	1 saint
Birnstan	1 saint
Bladulf	1 saint
Blaesilla	1 saint
Blaise	1 saint
Blaithmaic	1 saint
Blandina	1 saint
Blandine	1 blessed
Blath	1 saint
Blitmund	1 saint
Bobinus	1 saint
Bobo	1 saint
Bodagisil	1 saint
Boetharius	1 saint
Bogdan	1 saint
Bogumilus	1 saint
Boisil	1 saint
Bolcan	1 saint
Bolesława	1 blessed
Bona	1 saint
Bonaventure	1 saint
Bonfilius	1 saint
Bonifacia	1 blessed
Bonizella	1 blessed
Bonne	1 blessed
Bononio	1 saint
Bosa	1 saint
Botuid	1 saint
Botwulf	1 saint
Braulius	1 saint
Bregwin	1 saint
Bretannion	1 saint
Brian	1 blessed
Briarch	1 saint
Brice	1 saint
Brictus	1 saint
Brigid	1 saint
Brigida	1 blessed
Brioc	1 saint
Brithwald	1 saint
Brito	1 saint
Britta	1 saint
Britwin	1 saint
Brocard	1 saint
Bron	1 saint
Brónach	1 saint
Bronislava	1 blessed
Bronislaw	1 blessed
Brynach	1 saint
Brynoth	1 saint
Bunkerd	1 blessed
Burchard	1 saint
Cadfan	1 saint
Cadoc	1 saint
Cadwallader	1 saint
Caecilius	1 saint
Caedmon	1 saint
Caerealis	1 saint
Caesaria	1 saint
Cagnoald	1 saint
Caimin	1 saint
Cainnech	1 saint
Calais	1 saint
Calepodius	1 saint
Caletricus	1 saint
Calixtus	1 blessed
Callinica	1 saint
Callinicus	1 saint
Calliope	1 saint
Calliopus	1 saint
Callistratus	1 saint
Callistus	1 saint
Callixtus	1 saint
Calminius	1 saint
Calocerus	1 saint
Calogerus	1 saint
Calupan	1 saint
Cambiagio	1 blessed
Camelian	1 saint
Camerinus	1 saint
Camilla	1 saint
Camillo	1 saint
Camillus	1 blessed
Cannatus	1 saint
Cannera	1 saint
Canog	1 saint
Cantius	1 saint
Capitolina	1 saint
Caradoc	1 saint
